marque,modèle,Puissance fiscale,Année,price,Carburant,Kilométrage
Opel,Astra,7,2009,74000,Diesel,249000.0
Mercedes,Classe c,9,2016,330000,Diesel,169000.0
Volvo,S40,6,2011,110000,Diesel,140000.0
Mini,One,7,2016,145000,Essence,49000.0
Ford,Fiesta,6,2014,105000,Diesel,210000.0
Hyundai,Tucson,6,2021,263000,Diesel,86000.0
Nissan,Qashqai,6,2019,217000,Diesel,89000.0
Land-rover,Range rover vogue,17,2013,240000,Diesel,189000.0
Jeep,Grand cherokee,12,2017,135000,Diesel,249000.0
Volkswagen,Touran,8,2016,215000,Diesel,349000.0
Volkswagen,T-roc,8,2021,315000,Diesel,64000.0
Peugeot,308,6,2022,308000,Diesel,39000.0
Ds,Ds7 crossback,8,2020,295000,Diesel,84000.0
Dacia,Duster,6,2021,202000,Diesel,79000.0
Jeep,Grand cherokee,12,2018,275000,Diesel,159000.0
Hyundai,Accent,6,2021,159000,Diesel,149000.0
Skoda,Superb,8,2016,119000,Diesel,199000.0
Land-rover,Range rover sport,12,2015,357000,Diesel,149000.0
Hyundai,Tucson,6,2021,297000,Diesel,120000.0
Peugeot,208,6,2017,127000,Diesel,169000.0
Hyundai,Tucson,6,2022,300000,Diesel,70000.0
Volkswagen,Tiguan,11,2019,370000,Essence,59000.0
Audi,Sq5,12,2017,345000,Diesel,139000.0
Fiat,Tipo,5,2018,103000,Diesel,109000.0
Jeep,Wrangler,11,2016,310000,Diesel,99000.0
Citroen,C5 aircross,6,2023,282000,Diesel,24000.0
Bmw,Serie 4 gran coupe,8,2018,375000,Diesel,49000.0
Citroen,C4 picasso,6,2011,90000,Diesel,260000.0
Land-rover,Range rover evoque,9,2013,190000,Diesel,175000.0
Nissan,Qashqai,6,2014,150000,Diesel,150.0
Mercedes,Cla,9,2017,250000,Diesel,122000.0
Nissan,Qashqai,6,2012,126000,Diesel,220000.0
Kia,Picanto,6,2006,55000,Essence,139000.0
Bmw,Serie 4,8,2014,249000,Diesel,123000.0
Bmw,Serie 4 gran coupe,8,2019,340000,Diesel,134000.0
Nissan,370z,21,2011,260000,Essence,74000.0
Dacia,Duster,6,2016,127000,Diesel,119000.0
Chery,Tiggo,9,2022,173000,Essence,29000.0
Jeep,Cherokee,8,2019,210000,Diesel,94000.0
Renault,Clio,6,2019,124000,Diesel,110000.0
Volvo,Xc60,8,2020,338000,Diesel,64000.0
Peugeot,208,6,2022,195000,Diesel,70000.0
Kia,Sorento,9,2021,365000,Diesel,64000.0
Citroen,C3 aircross,6,2022,228000,Diesel,24000.0
Dacia,Duster,6,2020,169000,Diesel,99000.0
Volkswagen,Autre,10,2020,349000,Electrique,64000.0
Opel,Grandland,6,2021,208000,Diesel,99000.0
Toyota,Yaris,6,2018,110000,Essence,87000.0
Volkswagen,Touareg,12,2016,190000,Diesel,159000.0
Land-rover,Range rover vogue,12,2014,275000,Diesel,299000.0
Hyundai,Kona,9,2024,265000,Hybride,19000.0
Hyundai,Tucson,6,2023,345000,Diesel,54000.0
Mercedes,Classe a,8,2020,362999,Diesel,159000.0
Hyundai,Santa fe,9,2018,235000,Diesel,94000.0
Land-rover,Range rover sport,12,2013,390000,Diesel,159000.0
Ford,Focus 5p,6,2016,138000,Diesel,150000.0
Seat,Leon,6,2017,155000,Diesel,141000.0
Land-rover,Range rover evoque,8,2014,235000,Diesel,130000.0
Skoda,Kodiaq,8,2018,270000,Diesel,195600.0
Hyundai,I10,6,2012,65000,Essence,79000.0
Opel,Crossland,6,2022,210000,Diesel,50000.0
Volkswagen,Tiguan,8,2017,238000,Diesel,105000.0
Dacia,Logan,6,2016,95000,Diesel,110000.0
Skoda,Octavia,8,2017,165000,Diesel,200000.0
Renault,Clio,6,2019,116500,Diesel,110000.0
Dacia,Sandero,6,2022,138000,Diesel,64000.0
Opel,Astra,6,2022,290000,Diesel,19000.0
Mitsubishi,L200,10,2021,245000,Diesel,74000.0
Volkswagen,Touareg,12,2019,300000,Diesel,249000.0
Kia,Sorento,8,2019,223000,Diesel,79000.0
Citroen,C3 aircross,6,2020,169900,Diesel,39000.0
Hyundai,I10,6,2012,63000,Essence,79000.0
Mercedes,Classe e,8,2019,385000,Diesel,149000.0
Audi,Autre,8,2019,277500,Diesel,109000.0
Volkswagen,Tiguan,8,2020,315000,Diesel,59000.0
Fiat,500l,6,2015,125000,Diesel,109000.0
Renault,Clio,6,2021,138000,Diesel,79000.0
Abarth,595 cabriolet,8,2014,145000,Essence,45000.0
Ford,Fusion,8,2017,165000,Diesel,197000.0
Skoda,Kamiq,6,2021,210000,Diesel,57000.0
Mitsubishi,Outlander,9,2014,150000,Diesel,191000.0
Peugeot,3008,8,2021,339000,Diesel,94000.0
Bmw,Serie 3,8,2019,340000,Diesel,49000.0
Opel,Crossland,6,2023,186000,Diesel,24000.0
Nissan,Juke,6,2022,195000,Essence,44000.0
Ssangyong,Stavic,8,2017,49900,Diesel,149000.0
Peugeot,Expert,6,2019,155000,Diesel,94000.0
Fiat,500,6,2022,135000,Essence,54000.0
Hyundai,Elantra,6,2019,158000,Diesel,84000.0
Land-rover,Range rover,11,2015,386000,Diesel,119000.0
Hyundai,Accent,6,2019,140000,Diesel,84000.0
Land-rover,Range rover sport,11,2015,355000,Diesel,129000.0
Nissan,Qashqai,6,2019,190000,Diesel,119000.0
Jeep,Wrangler,11,2019,369000,Diesel,58000.0
Renault,Kangoo,6,2020,135000,Diesel,80000.0
Citroen,Berlingo,6,2021,159000,Diesel,20000.0
Peugeot,208,6,2022,192000,Diesel,84000.0
Dacia,Sandero stepway,6,2024,165000,Diesel,4000.0
Volkswagen,T-roc,8,2023,348000,Diesel,44000.0
Volkswagen,Id.3,8,2020,349000,Electrique,60000.0
Volkswagen,Passat cc,8,2013,140000,Diesel,165000.0
Ford,Focus 5p,6,2013,108000,Diesel,1450000.0
Bmw,Serie 5,8,2018,345000,Diesel,119000.0
Renault,Master,9,2014,164000,Diesel,199000.0
Hyundai,H100,10,2018,165000,Diesel,100000.0
Fiat,500,11,2020,198000,Essence,66000.0
Fiat,500x,8,2023,242000,Essence,4000.0
Fiat,Doblo,6,2024,206000,Diesel,4000.0
Fiat,500,7,2022,165000,Essence,14000.0
Peugeot,3008,8,2022,307000,Diesel,19000.0
Bmw,Serie 1,6,2020,305000,Diesel,19000.0
Ds,Autre,6,2023,310000,Diesel,34000.0
Jeep,Renegade,8,2023,249000,Hybride,14000.0
Volvo,S90,17,2011,120000,Essence,109000.0
Renault,Megane 4,6,2019,159000,Diesel,74000.0
Volkswagen,T-roc,8,2021,290000,Diesel,99000.0
Audi,Autre,8,2017,215000,Diesel,159000.0
Opel,Adam,7,2021,169000,Essence,9000.0
Opel,Mokka,6,2022,255000,Diesel,4000.0
Renault,Megane,7,2019,165000,Diesel,73000.0
Hyundai,Tucson,6,2022,345000,Diesel,74000.0
Ford,Kuga,6,2022,242000,Diesel,54000.0
Mercedes,Classe c,36,2011,240000,Essence,179000.0
Suzuki,Alto,5,2008,35000,Essence,250000.0
Peugeot,208,6,2016,82000,Diesel,167000.0
Skoda,Octavia,8,2013,132000,Diesel,195.0
Bmw,X5,8,2017,350000,Diesel,189000.0
Fiat,500,7,2022,130000,Essence,33000.0
Renault,Clio,6,2021,138000,Diesel,149000.0
Opel,Corsa,6,2019,90000,Essence,119000.0
Land-rover,Range rover evoque,9,2016,220000,Diesel,179000.0
Toyota,Yaris,6,2021,130000,Essence,30000.0
Land-rover,Discovery,9,2016,225000,Diesel,130000.0
Hyundai,Tucson,6,2022,268000,Diesel,67000.0
Renault,Clio,6,2018,104000,Diesel,163000.0
Hyundai,Tucson,6,2021,312000,Diesel,149000.0
Renault,Captur,6,2016,145000,Diesel,94000.0
Opel,Mokka,6,2022,225000,Diesel,4000.0
Fiat,500,7,2021,139000,Essence,49000.0
Peugeot,208,6,2023,163000,Diesel,34000.0
Volkswagen,Passat,8,2017,190000,Diesel,129000.0
Hyundai,Tucson,9,2022,342000,Hybride,34000.0
Volkswagen,Coccinelle,8,2017,198000,Diesel,129000.0
Ford,Kuga,8,2017,179000,Diesel,199000.0
Mercedes,Classe e,8,2016,283000,Diesel,67000.0
Renault,Captur,6,2021,194999,Diesel,49000.0
Audi,Q5,8,2017,270000,Diesel,170000.0
Hyundai,Santa fe,9,2019,320000,Diesel,77760.0
Ford,Ranger,9,2017,210000,Diesel,167000.0
Hyundai,Tucson,6,2022,280000,Diesel,34000.0
Seat,Altea xl,8,2008,85000,Diesel,253000.0
Bmw,X6,12,2009,140000,Diesel,280000.0
Hyundai,Tucson,7,2017,195000,Diesel,182000.0
Volkswagen,Golf 6,6,2011,112000,Diesel,172000.0
Renault,Megane,6,2016,126000,Diesel,253000.0
Volkswagen,Jetta,8,2018,180000,Diesel,96000.0
Renault,Megane,6,2019,182000,Diesel,75000.0
Ford,Kuga,8,2016,174999,Diesel,119000.0
Fiat,500,7,2022,125000,Essence,34000.0
Hyundai,Creta,6,2022,224000,Diesel,69000.0
Citroen,C5 aircross,8,2020,235000,Diesel,99000.0
Bmw,X1,8,2016,190000,Diesel,199000.0
Bmw,Serie 2 gran coupe,8,2021,329000,Diesel,125000.0
Volkswagen,Passat,8,2011,120000,Diesel,119000.0
Peugeot,5008,6,2020,215000,Diesel,44000.0
Mercedes,Classe v,9,2018,380000,Diesel,119000.0
Alfa-romeo,Giulietta,6,2012,105000,Diesel,146000.0
Opel,Crossland,6,2019,145000,Diesel,130000.0
Fiat,500,7,2021,134000,Essence,69000.0
Renault,Kadjar,6,2020,229000,Diesel,119000.0
Renault,Captur,6,2013,120000,Diesel,151000.0
Audi,Autre,8,2017,205000,Diesel,199000.0
Toyota,Rav-4,14,2019,270000,Hybride,74000.0
Ford,Fiesta,7,2014,79000,Essence,154000.0
Toyota,Hilux,10,2019,258000,Diesel,94000.0
